Abe Ease Seize Supports	ABC Sports
Eyed Rink Gay Tour Eight	I Drink Gatorade
Dawn Alt South Hurl Hand	Donald Sutherland
Gnome Ore Deers	No More Tears
Lie Cave Urchin	Like A Virgin
Gasp Earthy Fur End Lee Coast	Casper The Friendly Ghost
Day Demand War Kink	Dead Man Walking
Hi Hand Rye	High And Dry
Abe Aura Her She's Chalk Lit	A Bar Of Hershey's Chocolate
Heart Official Ant Heller Gents	Artificial Intelligence
Saw Fast Abe Abie Spot Hum	Soft As A Baby's Bottom
Yule Height Dub Mile I've	You Light Up My Life
Soon Knees Hide Hup	Sunny Side Up
June Your Ice Cool	Junior High School
Inner Bod Hull Oar Rug Lass	In A Bottle Or Glass?
Mower Lease Hay Fur	Morley Safer
Shirly Huge Chest	Surely You Jest
Theme Hiss Single Ink	The Missing Link
Age Ants Oval I've Dime	A Chance Of A Lifetime
Half Reed Hummed He Canary	Every Tom, Dick And Harry
Thief Huge A Tiff	The Fugitive
Muff Heater Gold	My Feet Are Cold
Says Amy's Treat	Sesame Street
Strain Jazzin' Dean Height	Strangers In The Night
Fur Chin Ollie Foil	Virgin Olive Oil
Free Quaintly As Quest Shuns	Frequently Asked Questions
More Fee Slaw	Murphy's Law
These Moe King Hun	The Smoking Gun
Hopper Tune Hit Teen Ox	Opportunity Knocks
Own Lethal Only	Only The Lonely
Abe Heavy Hub You Tease	A Bevy Of Beauties
Eye Falafel	I Feel Awful
Jaw Neon These Pot	Johnny On The Spot
Pade Sage Hack	Pat Sajak
Hal Leak Off Dare Hone	A League Of Their Own
Oz Temp Hours	Austin Powers
Swede Hans Hour Poke	Sweet And Sour Pork
Sue Think Moss Hodge	Soothing Massage
Tum Eel As Hoarder	Tommy Lasorda
Poe Stitched Ooh	Postage Due
Lewd High Mend Fill Ups	Lou Diamond Phillips
Foyer Ice Sown Lee	For Your Eyes Only
Cusp Helm Ooze Sick	Gospel Music
Eight Wean Gull Any Size	A Twinkle In His Eyes
Huff Oral Heave Glow Fur	A Four-leaf Clover
Mall Tome Heel	Malt-O-Meal
Ran Dumb Max Suck Highness	Random Acts Of Kindness
The Odor Rows Of Felt	Theodore Roosevelt
Weed Hid Dents Tart Thief Higher	We Didn't Start The Fire
Ace Tray Taste Who Dent	A Straight-A Student
En Wipe He Deep Lou	NYPD Blue
Gay Twin Sled	Kate Winslet
Thai Rob Hanks	Tyra Banks
June Heifer Rye Tomb He	You Never Write To Me
Lou Quad Hive Cot	Look What I've Got
Mower Thin Nuke Inch Who	More Than You Can Chew
Raw Key Mound Annoy Stirs	Rocky Mountain Oysters
Tooth Her Mack Her Rain Her	Do The Macarena
Gnat Shin Allen Choir Ore	National Enquirer
Abe Hole Hutch Hip Sand Hip	A Bowl Of Chips And Dip
Ham A Sing Disc Hover He	Amazing Discovery
Lay Dissolve Thin Height	Ladies Of The Night
My Hill Hike Lob	Mile High Club
Say Rum Hush Elk Killer	Sarah Michell Gellar
Twin Keyed Evince	Twinkle Defense
Yore Ache Hunt Rolfe Reek	You're A Control Freak
State Who Their Height	Stay To The Right
Day Vid Carrot Dean	David Carradine
Haste Hat Assemble	A Status Symbol
Mel Walk Hebrews Hers	Milwaukee Brewers
Sin Deal Law Purr	Cyndi Lauper
Damp Obey Floor Eater	Tampa Bay, Florida
Sir Face Ess	Survey Says
Ease Bag Kin These Had Dull	He's Back In The Saddle
Wand Doll Iran Dense Hence	One Dollar And Ten Cents
Sit Jerk Lock	Set Your Clock
Paw Rolfe Eye Owe Lay Shun	Parole Violation
I'm Issues Home Hutch	I Miss You So Much
Finesse Aah! Wheel Yams	Vanessa Williams
Dawn Dutch Mice Tough	Don't Touch My Stuff
Bat Tree Snot Ink Looted	Batteries Not Included
Ease Sung Gopher	He's Hungover
High Dance Eek	Hide And Seek
Maid Fur Reach Hover	Made For Each Other
Pomp Eyelet	Palm Pilot
Thief Act Huff Them Adder	The Fact Of The Matter
Whole Imp Pig Aims	Olympic Games
Tray Sure Aisle Hand	Treasure Island
Police Bees Eerie Us	Please Be Serious
Lee On Hard Odie Cap Rio	Leonardo DiCaprio
Frumps Hero Dues Hicks Tee	From Zero To Sixty
Canoes He Wad Ice He	Can You See What I See?
Eighth Reap Ease Hoot	A Three-Piece Suit
Hugh Essay Tude Hay	USA Today
Mare Itch Prop Owes All	Marriage Proposal
Raw Key Ant Bull Wink Hill	Rocky And Bullwinkle
These Hound Doff Moo Sick	The Sound Of Music
Watts Ford Inner	What's For Dinner
She Cargo Ill Annoy	Chicago Illinois
Eye Ham Width Stew Ped	I Am With Stupid
Gay Duds Hun	Kate Hudson
Joan Hay Myth	Joe Namath
We Knit Train Sip Oars	When It Rains, It Pours
Manna Cue Her	Manicure
Newer Leans Ain'ts	New Orleans Saints
Read Hick Yule Us	Ridiculous
Theme Ask Cough Sore Owe	The Mask Of Zorro
Gnu Your Cassidy	New York City
Holes Ale Pry Says	Wholesale Prices
Eight Up Aware Par Tee	A Tupperware Party
I'm On Stairs Sink	Monsters Inc
Nor Thumb Air Reckon	North American
Sadder Dane Height Fee Fur	Saturday Night Fever
Urine Deem Honey	You're In The Money
Youth Ink York Ooh	You Think You're Cool?
Stay Pulse Enter	Staples Center
Damp Day Shun Eye Lend	Temptation Island
Haystack Up Hank Aches	A Stack Of Pancakes
Mar Can The Knee	Marc Anthony
Peek Nicked Ape Bull	Picnic Table
Dozen May Kenny Cents Tomb He	Doesn't Make Any Sense To Me
Sioux Punk Rack Hearse	Soup And Crackers
Fur Stand Form Host	First And Foremost
Wands Up Pawn Eight I'm	Once Upon A Time
Sym Bell Has Abe He Sea	Simple As A-B-C
Plea Sway Tube Ease Heated	Please Wait To Be Seated
May Gun High Tough Fit	Make A Night Of It
Inn Tooth Hen Heir	Into Thin Air
Europe Lay Sore Mind	Your Place Or Mine
Check Enough These He	Chicken Of The Sea
Abe Who Beat Wrap	A Booby Trap
Ewe Han Mag Ray Gore	Ewan McGregor
Hoop Side Hid Ditto Ken	Oops I Did It Again
Mine Ore A Teary Port	Minority Report
Rot Into Thick Oar	Rotten To The Core
Thesis Sawn Who Tomb He	This Is All New To Me
Thy Pup Dispelled Chews	Wipe Up The Spilled Juice
Thief Wrench Con Eggs Shun	The French Connection
Sea Yule Hater	See You Later
Old Sunned Wins	Olsen Twins
Manner Four	Man-Of-War
Who Why Inn Sir Fur	Hawaiian Surfer
Fun Ella Eyes	Vanilla Ice
Deep Rinse Soft Ides	The Prince Of Tides
Hay Tease Hicks	Eighty-Six
Jeweler Rob Hurts	Julia Roberts
Minnie Soda Vie Kinks	Minnesota Vikings
Seal Indy Yon	Celine Dion
Thigh Sing Gone Thick Ache	The Icing On The Cake
Why Emcee Hay	Ymca
Theme Are Ink Ore	The Marine Corps
Poise Tomb Hen	Boys II Men
Mar Thus Do Hurt	Martha Stewart
Duck Turd Ray	Dr. Dre
Gown Tink Rows	Counting Crows
Hum Eric A Nair Lions	American Airlines
May Cuss Suck Jest Chin	Make A Suggestion
Par Keens Pace	Parking Space
Rome He Owe Hand Jewelry Yet	Romeo And Juliet
Thief Han Tomb Hen Is	The Phantom Menace
Wide Hidden Chews Haze Hoe	Why Didn't You Say So?
Tap Lloyd Noose Pay Purse	Tabloid Newspapers
Fee Nicks Huns	Phoenix Suns
Hit Stoop Add	It's Too Bad
May Churl Eek Bays Paul	Majore League Baseball
Poe Little Key Ink Oar Wrecked	Politically Incorrect
Sue Purse Eye Smee	Super Size Me
Wall Come Island Mash Ooze	Walk A Mile In My Shoes
Pen Silly Raise Her	Pencil Eraser
June Hoe Hull Ask Her	Juneau, Alaska
For Dee Hay Towers	48 Hours
Deep Each Poise	The Beach Boys
Easel Aid Ease Man	He's A Ladies Man
Hoe Min Proof Mint	Home Improvement
Mash Who Sun Tide	My Shoe's Untied
Prints Jar Else	Prince Charles
Toy Ordor Terse Sell	Toyota Tercel
Wren Tough Id He Owe	Rent A Video
Syrup All Mick Are Knee	Sir Paul McCartney
Pick Sin Herb Lank Hit	Pigs In A Blanket
Mayor Itch Maiden Evan	Marriage Made In Heaven
Hint A Few Width Diva Umpire	Interview With The Vampire
Dust Herb Ink Dap Peas	Disturbing The Peace
Ace Heck Hunch Ants	A Second Chance
Disguise Office Raw Car	This Guy's Off His Rocker
Hype Ledger Legions Tooth Affleck	I Pledge Allegiance To The Flag
Mist Hers Myth Ghost Hooha Shint Un	Mr. Smith Goes To Washington
Thief Hearse Late He	The First Lady
Reese Urchin Deep Element	Research And Development
Ohm They Eaters Hiss Dumb	Home Theater System
Lei Deem Harmer Laid	Lady Marmalade
Hoe Pin-Up Hits Depot Lease	Open Up! It's The Police
Abe Hype Rod Duck	A By-Product
Duet Tomb He Juan Mort I'm	Do It To Me One More Time
Heal Heck Trick Have A New	Electric Avenue
Jeep Herb High Deed Doesn't	Cheaper By The Dozen
Nose Sects Beef Form Air Itch	No Sex Before Marriage
Say Fit Fray Ray Need Hey	Save It For A Rainy Day
Thesis Tine Alt Hap	This Is Spinal Tap
Who Terse Arrest Runt	Hooters Restaurant
Theme Anne Jury Ink Candied Ate	The Manchurian Candidate
Plea Sleeve Amass Itch	Please Leave A Message
Aim Adder Rough Open Yen	A Matter Of Opinion
Dough For Ella Wear	Dover, Delaware
Go Form Hints Pending	Government Spending
House The Why Funk Heads	How's The Wife And Kids?
May Lord Herb Ride	Mail-Order Bride
Own Late Aches Aim Men Hit	Only Takes A Minute
Print Says Fee Owner	Princess Fiona
Theme Hag Niftycents Heaven	The Magnificant Seven
Were That Sway Ten Cold	Worth Its Weight In Gold
Ape He Street He	A Peace Treaty
Fee Numb He Nun	Phenomenon
Hit Snotty Fin Clothes	It's Not Even Close
Mash Who'll Aces Sun Tide	My Shoelace Is Untied
Plea Center Europe As Ward	Please Enter Your Password
Stow Vet Hop Tress Sing	Stove Top Dressing
Wall Turk Wrong Height	Walter Cronkite
Murry Ash Rye Fur	Maria Shriver
Jaw Jar Arm I'm Hind	Georgia On My Mind
Fooled Forth Halt	Food For Thought
Ace Cam Mar Test	A Scam Artist
Far Therm Her Fee	Father Murphy
Hit Spin Could Form He	It's Been Good For Me
Mass Car Aid Caws Tomb	Masquerade Costume
Sea Can't Higher Dove Fit	Sick And Tired Of It
You Taj As	Utah Jazz
Fum Geyser Bay Bees	Some Guys Are Babies
Poke Hoe Haunt Is	Pocahontas
Mass Turk Hard	MasterCard
Huge He Nora Gun	Eugen, Oregon
Eight Roost Oar He	A True Story
Ache Inks High Sped	A King-Size Bed
Dock Terse Oar Duhs	Doctor's Orders
Ha Leap Air He	Halle Barry
Wart Rope Mel Funk Shun	Wardrobe Malfunction
Fan Ill Ass Guy	Vanilla Sky
Oozer Fray Duff Deep Pig Pad Woof	Who's Afraid Of The Big Bad Wolf?
Gnu Your Crance Jess	New York Rangers
Hype Bleed Dinner Scen	I Plead Innocent
Mike Robe Rue Hurry	Microbrewery
Rye Terse Gramp	Writer's Cramp
Toe Runt Hoke Annie Duh	Toronto, Canada
Ace Height Force Oar Rise	A Sight For Sore Eyes
Disco Pierre Knead Stoner	This Copier Needs Toner
Foal Jazz Cough He	Folgers Coffee
Huh Fugue Hood Aim In	A Few Good Men
Med Rows Hex Yule	Metrosexual
Rye Ants Eek Rest	Ryan Seacrest
Toy Lit Issue	Toilet Tissue
Silly Cohen Imp Lance	Silicone Implants
Nope Are Kings Own	No-Parking Zone
Ditch Chews Haze Hum Thin	Did You Say Something?
Bed Chirp Autumn Doll Her	Bet Your Bottom Dollar
Eggs Tour Men Hater	Exterminator
Dawn Alt Rump	Donald Trump
Furs Dumb End Mint	First Amendment
Inter Tenement Who Knight	Entertainement Tonight
Oar He Oak Hooky	Oreo Cookie
Srobe Bury Sink Ream	Strawberries And Cream
Urine Mice Pays	You're In My Space
We Eared Sigh Ants	Weird Science
Swedes Hicks Dean	Sweet Sixteen
Patch Jell Earp Arty	Bachelor Party
Know Whiff Fans Herb Huts	No Ifs, Ands Or Buts
Dock Door Rat Kin Sty Hit	Dr. Atkins Diet
Foyer Ape Roof Hall	For Your Approval
Ander Say Weigh	Anchors Away
Eye Pillow Fizz Sigh	Apple Of His Eye
Dock Turf Ill	Doctor Phil
Hike Hen Sit Hen Year Rise	I Can See It In Your Eyes
Eel Heck Trick Are	Electric Car
Debt Snot Must Aisle	That's Not My Style
Ewe Call Lip Dust Re	Eucalyptus Tree
Hun Fork If Hen	Unforgiven
Pen Hokey Yo	Pinocchio
Thine Terse Tate	The Interstate
Wore Inn Buff It	Warren Buffett
Theme Odds Quad	The Mod Squad
Ohm Moo Fees	Home Movies
Lee Gals Sighs End Fell Hope	Legal-Size Envelope
Chest Mice Eyes	Just My Size
Heaven Iced Hey	Have A Nice Day
Dark Turf Rank Inns Tyne	Dr. Frankenstein
Ski Kneed Hip	Skinny Dip
When Owner Hider	Winona Ryder
Send Drab Hull Hock	Sandra Bullock
Eye Shoddy Cher If	I Shot The Sheriff
Inns Hick Nissan Din Elf	In Sickness And In Health
Neigh Jerk Halls	Nature Calls
Rye Sorrow Knee	Rice-A-Roni
Uphill Love Height	A Pillow Fight
You Shore New Dull	Use Your Noodle
Fry Fin Moo Fee	Drive-In Movie
Gel Hope Put Ink	Jell-O Pudding
Juan Inner Meal Yawn	One In A Million
Moo Verse San Jake Hearse	Movers And Shakers
Polar Ab Duel	Paula Abdul
Rubber Toe Benny Knee	Roberto Benigni
Tocke Turd Duel Hit Hell	Dr. Dolittle
Sigh Goes Home Attic	Psychosomatic
Owe Four Rent Dull Gent	Overindulgent
Donut Hawk Twos Train Jazz	Do Not Talk To Strangers
Bick Ma Nun Cam Puss	Big Man On Campus
Ache Hay Solve Cons Tip Asian	A Case Of Constipation
Dawn Biafra Eight Duff Deed Arc	Don't Be Afraid Of The Dark
Flaw Coughs He Gals	Flock Of Seagulls
Hun Dray Ditch High Ant	Ander The Giant
Neck Stayed Eel If Furry	Next-day Delivery
Sick Steamy Knits	Sixty Minutes
Tray Dirge Hose Mar Kit	Trader Joe's Market
Was Acre Heap	What A Creep
Theme Eye Dust Hutch	The Midas Touch
Pair En Tlc Hun Trolls	Parental Controls
Aid Are Crank Loud	A Dark Rain Cloud
Dish Harp Her Rim Edge	The Sharper Image
Ease Cot Loaf Vandals	He's Got Love Handles
Deal If Hurray Yule Edgy	Deliver A Eulogy
Door Her Tex Pull Horror	Dora The Explorer
Aid Hym Pulled Gin	A Dimpled Chin
Hock Doe Us Tent Hackles	Octopus Tentacles
Dewy Half Aid Eel	Do We Have A Deal?
Ale Hum Pen Moth Wrote	A Lump In My Throat
Four End Hick Tater	Foreign Dictator
Lawn Hoarder	Law & Order
Pen Hey Mach Annul	Panama Canal
Toe Runt Hope Luge Hays	Toronto Blue Jays
Who Dion Dipple Oafish	Hootie & The Blowfish
Show Curd Add He	Sugar Daddy
Oz Car Dealer Wren Duh	Oscar De La Renta
Hit Tap End Juan Height	It Happened One Night
Dun Chewbacca Note Art Aim	The Hunchback Of Notre Dame
Hairy Putter Randy Saucer Is Tone	Harry Potter And The Sorcerer's Stone
Misery Reverb Oat	Missouri River Boat
Shy Knees Zack Coupon Sure	Chinese Acupuncture
Wire Ewe Hanoi Ink Mi	Why Are You Annoying Me?
Asbestos Hik Ann	As Best At I Can
Gold Lie Ache Height	Go Fly A Kite
Lair Fink Gout Lout	Laughing Out Loud
Pea Sank White	Peace And Quiet
Theo Rye Leaf Actor	The O'Reilly Factor
Wheel Fair El	Will Ferrell
Purse Annulled Rain Her	Personal Trainer
Hell End Itch Generous	Ellen DeGeneres
Hen Descent Pro Pose Hall	Indecent Proposal
Sex Tea Forth Hows End Hollers	Sixty-Four Thousand Dollars
Tock Toothy And	Talk To The Hand
Call Infer Hell	Colin Farrell
My Cold Hug Lass	Michael Douglas
Stub Her Neigh Same Yule	Stubborn As A Mule
Aim Hilly Hindu Juan	A Million To One
Hiney Duck Hiss	I Need A Kiss
Joke Hocker	Joe Cocker
Tack Seed Rye Fur	Taxi Driver
Yell Hope Hey Jess	Yellow Pages
Ray Dot Che Leap Hep Hearse	Red Hot Chili Peppers
Juan Ow Arf Hoe Toe	One-Hour Photo
Dawned Hutch Mi	Don't Touch Me
Drew Thawed Air	Truth Or Dare
Matter Bow Chew	Mad About You
Thor Ease Hack Grout	Three's A Crowd
Vowel Hint I'm Stay	Valentine's Day
Math Hue Bra Derrick	Matthew Broderick
Fur Stings Versed	First Things First
Bach Sirs Orb Reefs	Boxers Or Briefs
Huge Act Men	Hugh Jackman
Window Wheeze Tart	When Do We Start?
Hgh Yam Knot Ache Rook	I Am Not A Crook
Purse Hun El Lads	Personal Ads
Crate Boss Huff Higher	Great Balls Of Fire
He'll Air Reed Huff	Hilary Duff
Beau Tock Sin Check Shuns	Botox Injections
Lay Turd Who'd	Later Dude
Police Comma Kin	Please Come Again
Wish Shallow Fork Hum	We Shall Overcome
Plea Sack Chore Rage	Please Act Your Age
Cough He Anchor Ream	Coffee And Cream
Bee Keen He Wacks	Bikini Wax
Airy Ledges Purse Sun	A Religious Person
Play Sure Adhere	Place Your Ad Here
You Hess Ascend Her Prize	U.s.s. Enterprise
Pea Cub Who Icyy Hue	Peek-a-boo! I See You!
Ghetto Low Duff Vim	Get A Load Of Him
Aid Hull Tent Tour Tame Mint	Adult Entertainment
Hen Dean Apple Us	Indianapolis
Thread Craws	The Red Cross
Link Hun Ebb Brass Car	Lincoln, Nebraska
Hat Land Tough All Cons	Alanta Falcons
Law Duff There Inks	Lord Of The Rings
Pry Damp Ray Chewed Hiss	Pride And Prejudice
Theme Hum He Reed Urns	The Mummy Returns
Wide Own Shoe Seamy Hen Amour	Why Don't You See Me Anymore?
Ands Inure Pans	Ants In Your Pants
Dick's Each Hicks	Dixie Chicks
Henna Ream Antsy Knee	Henry Mancini
Seuss Hens Aaron Den	Susan Sarandon
Test Brit How Survives	Desperate Housewives
Hey Once Takes Hoss	A1 Steak Sauce
Lit Told Hid High No	Little Did I Know
Theme Anne Aisle Of	The Man I Love
Dew Wino Hue	Do I Know You?
Hive Ale Ding Leash	I Failed English
Mare Retile Armor	Mary Tyler Moore
Thief Wrench Jeff	The French Chef
Wreck Yule Arc Off He	Regular Coffee
Sayer Hutches Hiccup Ark Her	Sarah Jessica Parker
Hive Kotter Bran Nookie	I've Got A Brand New Key
Cat Chum Seas	Catch Some Z's
Hula Deed Hogs Ow	Who Let The Dogs Out?
Neighbors Coat Risk Hits	Nabisco Triscuits
Toe Knee Rant All	Tony Randall
Star Pore Aisles Hoot	Stop Or I'll Shoot!
Mercy Dee Spends	Mercedes-Benz
Egg Hut Tree Hack Shin	A Gut Reaction
Hit Sun Owe Bulk Halls	It's A Noble Cause
Likc Wit Ditch Urge Hint	Liquid Detergent
Super Whom Odors	Subaru Motors
Why Pure Fee Don Deem Hat	Wipe Your Feet On The Mat
Sects Santa Sea Tee	Sex And The City
Dues On Hurry Zone Air	Tuscon, Arizona
Hell Beau Soft Teat Able	Elbows Off The Table
Dungeons Hun	Don Johnson
Knee Says Sand Nay Fuse	Nieces And Nephews
Sex Degrease Offs Hep Oration	Six Degrees Of Separation
Wekk Ant Me Tan Amour	We Can't Meet Anymore
Shade Hap Ink Its Myth	Jada Pinkett Smith
Eye Bend Ream Enough Few	I've Been Dreaming Of You
Hen Fear He Ore Teak Hum Plaques	Inferiority Complex
Eye Hefty Rye Dancers	I Have The Right Answers
Sex Team In Huts	Sixty Minutes
Witch He Talk Anne Sass	Wichita Kansas
Ohm Oar Gauge	Home Mortgage
Eye Avenue Hat Etude	I Have A New Attitude
Apart Rid Chin-Up Hair Tree	A Partridge In A Pear Tree
Lawn Guy Lend Diced He	Long Island Iced Tea
Wisher Duff Aahs!	Wizard Of Oz
Med Hah Sink Hound He	Madison County
Apa Lay Onwards	A Play On Words
Lewd Ache Wrist	Ludicrous
Spy Term Han	Spiderman
Dale He Noose Pay Paw	Daily Newspaper
Les Mecca Dill	Let's Make A Deal
Dawn Neats Tan Ding Hup	Don't Eat Standing Up
